11.0	11
12.0	12
16.0	16
17.0	17
20.0	20
22.0	22
24.0	24
29.0	29
36.0	36
41.0	41
43.0	44
44.0	44
43.0	42
39.0	38
31.0	31
12.0	12
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
18.0	15
12.0	10
9.0	9
9.0	10
13.0	10
13.0	10
18.0	15
20.0	19
23.0	26
24.0	30
23.0	33
27.0	36
26.0	35
17.0	28
8.0	25
2.0	12
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
22.0	22
23.0	23
26.0	26
13.0	13
4.0	4
0.0	0
0.0	0
2.0	2
10.0	10
18.0	19
14.0	14
3.0	3
10.0	10
33.0	33
38.0	38
9.0	9
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
21.0	30
0.0	0
9.0	2
17.0	0
5.0	1
18.0	21
15.0	4
10.0	9
20.0	16
15.0	11
21.0	16
20.0	16
20.0	14
19.0	16
15.0	13
7.0	5
1.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
30.0	30
0.0	0
0.0	0
16.0	16
3.0	3
7.0	7
14.0	14
7.0	7
10.0	10
12.0	12
16.0	16
16.0	16
13.0	13
12.0	12
11.0	11
7.0	7
1.0	1
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
100.0	100
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
100.0	100
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
0.0	0
